"Regional sea","P","EC","count","Smean","Smedian"
"Baltic Sea",1,1,2,1.5,1.5
"Baltic Sea",1,2,2,2,2
"Baltic Sea",1,3,2,2,2
"Baltic Sea",1,4,2,1.5,1.5
"Baltic Sea",1,5,2,1.5,1.5
"Baltic Sea",1,6,2,1.5,1.5
"Baltic Sea",1,7,2,1.5,1.5
"Baltic Sea",1,8,2,1.5,1.5
"Baltic Sea",1,9,2,1.5,1.5
"Baltic Sea",1,10,2,1.5,1.5
"Baltic Sea",1,11,1,1,1
"Baltic Sea",1,12,1,1,1
"Baltic Sea",1,13,1,1,1
"Baltic Sea",1,14,2,2,2
"Baltic Sea",1,15,1,1,1
"Baltic Sea",1,16,2,2,2
"Baltic Sea",1,17,2,2,2
"Baltic Sea",1,18,1,2,2
"Baltic Sea",1,19,1,2,2
"Baltic Sea",1,20,1,2,2
"Baltic Sea",1,21,2,2.5,2.5
"Baltic Sea",1,22,2,3,3
"Baltic Sea",1,23,2,2,2
"Baltic Sea",1,24,2,2,2
"Baltic Sea",1,25,2,1,1
"Baltic Sea",1,26,2,0.5,0.5
"Baltic Sea",1,27,1,1,1
"Baltic Sea",1,28,2,0.5,0.5
"Baltic Sea",1,29,1,1,1
"Baltic Sea",1,30,2,2,2
"Baltic Sea",1,31,1,2,2
"Baltic Sea",1,32,2,1,1
"Baltic Sea",2,1,2,2,2
"Baltic Sea",2,2,2,2.5,2.5
"Baltic Sea",2,3,2,2.5,2.5
"Baltic Sea",2,4,2,2.5,2.5
"Baltic Sea",2,5,2,2.5,2.5
"Baltic Sea",2,6,2,1.5,1.5
"Baltic Sea",2,7,2,1.5,1.5
"Baltic Sea",2,8,2,1.5,1.5
"Baltic Sea",2,9,2,1.5,1.5
"Baltic Sea",2,10,2,1.5,1.5
"Baltic Sea",2,11,1,1,1
"Baltic Sea",2,12,1,1,1
"Baltic Sea",2,13,1,1,1
"Baltic Sea",2,14,2,2.5,2.5
"Baltic Sea",2,15,1,2,2
"Baltic Sea",2,16,2,3,3
"Baltic Sea",2,17,2,3,3
"Baltic Sea",2,18,1,3,3
"Baltic Sea",2,19,1,3,3
"Baltic Sea",2,20,1,3,3
"Baltic Sea",2,21,2,2,2
"Baltic Sea",2,22,2,2.5,2.5
"Baltic Sea",2,23,2,2.5,2.5
"Baltic Sea",2,24,2,2.5,2.5
"Baltic Sea",2,25,2,1,1
"Baltic Sea",2,26,2,1,1
"Baltic Sea",2,27,1,1,1
"Baltic Sea",2,28,2,0.5,0.5
"Baltic Sea",2,29,1,1,1
"Baltic Sea",2,30,2,0.5,0.5
"Baltic Sea",2,31,1,2,2
"Baltic Sea",2,32,2,1,1
"Baltic Sea",3,1,2,1.5,1.5
"Baltic Sea",3,2,2,1.5,1.5
"Baltic Sea",3,3,2,1.5,1.5
"Baltic Sea",3,4,2,1,1
"Baltic Sea",3,5,2,1.5,1.5
"Baltic Sea",3,6,2,1.5,1.5
"Baltic Sea",3,7,2,2,2
"Baltic Sea",3,8,2,2,2
"Baltic Sea",3,9,2,2,2
"Baltic Sea",3,10,2,2,2
"Baltic Sea",3,11,1,1,1
"Baltic Sea",3,12,1,1,1
"Baltic Sea",3,13,1,1,1
"Baltic Sea",3,14,2,2,2
"Baltic Sea",3,15,1,1,1
"Baltic Sea",3,16,2,1.5,1.5
"Baltic Sea",3,17,2,1,1
"Baltic Sea",3,18,1,2,2
"Baltic Sea",3,19,1,2,2
"Baltic Sea",3,20,1,2,2
"Baltic Sea",3,21,2,2,2
"Baltic Sea",3,22,2,2.5,2.5
"Baltic Sea",3,23,2,2,2
"Baltic Sea",3,24,2,2.5,2.5
"Baltic Sea",3,25,2,1.5,1.5
"Baltic Sea",3,26,2,2,2
"Baltic Sea",3,27,1,1,1
"Baltic Sea",3,28,2,1.5,1.5
"Baltic Sea",3,29,1,1,1
"Baltic Sea",3,30,2,1,1
"Baltic Sea",3,31,1,1,1
"Baltic Sea",3,32,2,1,1
"Baltic Sea",4,1,2,1.5,1.5
"Baltic Sea",4,2,2,2.5,2.5
"Baltic Sea",4,3,2,2,2
"Baltic Sea",4,4,2,1,1
"Baltic Sea",4,5,2,1,1
"Baltic Sea",4,6,2,2,2
"Baltic Sea",4,7,2,2.5,2.5
"Baltic Sea",4,8,2,1.5,1.5
"Baltic Sea",4,9,2,1,1
"Baltic Sea",4,10,2,1,1
"Baltic Sea",4,11,1,2,2
"Baltic Sea",4,12,1,1,1
"Baltic Sea",4,13,1,1,1
"Baltic Sea",4,14,2,1,1
"Baltic Sea",4,15,1,2,2
"Baltic Sea",4,16,2,1.5,1.5
"Baltic Sea",4,17,2,1,1
"Baltic Sea",4,18,1,3,3
"Baltic Sea",4,19,1,3,3
"Baltic Sea",4,20,1,1,1
"Baltic Sea",4,21,2,2,2
"Baltic Sea",4,22,2,1,1
"Baltic Sea",4,23,2,1,1
"Baltic Sea",4,24,2,1,1
"Baltic Sea",4,25,2,0,0
"Baltic Sea",4,26,2,1,1
"Baltic Sea",4,27,1,1,1
"Baltic Sea",4,28,2,0.5,0.5
"Baltic Sea",4,29,1,1,1
"Baltic Sea",4,30,2,0.5,0.5
"Baltic Sea",4,31,1,1,1
"Baltic Sea",4,32,2,2,2
"Baltic Sea",5,1,2,1.5,1.5
"Baltic Sea",5,2,2,1.5,1.5
"Baltic Sea",5,3,2,1.5,1.5
"Baltic Sea",5,4,2,2,2
"Baltic Sea",5,5,2,2,2
"Baltic Sea",5,6,2,2,2
"Baltic Sea",5,7,2,2.5,2.5
"Baltic Sea",5,8,2,2.5,2.5
"Baltic Sea",5,9,2,3,3
"Baltic Sea",5,10,2,3,3
"Baltic Sea",5,11,1,2,2
"Baltic Sea",5,12,1,2,2
"Baltic Sea",5,13,1,2,2
"Baltic Sea",5,14,2,1.5,1.5
"Baltic Sea",5,15,1,1,1
"Baltic Sea",5,16,2,2.5,2.5
"Baltic Sea",5,17,2,0.5,0.5
"Baltic Sea",5,18,1,2,2
"Baltic Sea",5,19,1,2,2
"Baltic Sea",5,20,1,2,2
"Baltic Sea",5,21,2,0.5,0.5
"Baltic Sea",5,22,2,0.5,0.5
"Baltic Sea",5,23,2,2,2
"Baltic Sea",5,24,2,3,3
"Baltic Sea",5,25,2,0,0
"Baltic Sea",5,26,2,0.5,0.5
"Baltic Sea",5,27,1,0,0
"Baltic Sea",5,28,2,0,0
"Baltic Sea",5,29,1,0,0
"Baltic Sea",5,30,2,0,0
"Baltic Sea",5,31,1,0,0
"Baltic Sea",5,32,2,2,2
"Baltic Sea",6,1,2,0.5,0.5
"Baltic Sea",6,2,2,1,1
"Baltic Sea",6,3,2,0.5,0.5
"Baltic Sea",6,4,2,0.5,0.5
"Baltic Sea",6,5,2,0.5,0.5
"Baltic Sea",6,6,2,0.5,0.5
"Baltic Sea",6,7,2,1,1
"Baltic Sea",6,8,2,0.5,0.5
"Baltic Sea",6,9,2,0.5,0.5
"Baltic Sea",6,10,2,0.5,0.5
"Baltic Sea",6,11,1,0,0
"Baltic Sea",6,12,1,0,0
"Baltic Sea",6,13,1,0,0
"Baltic Sea",6,14,2,0.5,0.5
"Baltic Sea",6,15,1,0,0
"Baltic Sea",6,16,2,2.5,2.5
"Baltic Sea",6,17,2,3,3
"Baltic Sea",6,18,1,1,1
"Baltic Sea",6,19,1,0,0
"Baltic Sea",6,20,1,1,1
"Baltic Sea",6,21,2,0,0
"Baltic Sea",6,22,2,0.5,0.5
"Baltic Sea",6,23,2,0.5,0.5
"Baltic Sea",6,24,2,0,0
"Baltic Sea",6,25,2,0.5,0.5
"Baltic Sea",6,26,2,0.5,0.5
"Baltic Sea",6,27,1,0,0
"Baltic Sea",6,28,2,0,0
"Baltic Sea",6,29,1,0,0
"Baltic Sea",6,30,2,0.5,0.5
"Baltic Sea",6,31,1,2,2
"Baltic Sea",6,32,2,0.5,0.5
"Baltic Sea",7,1,2,1,1
"Baltic Sea",7,2,2,1.5,1.5
"Baltic Sea",7,3,2,1,1
"Baltic Sea",7,4,2,1,1
"Baltic Sea",7,5,2,1,1
"Baltic Sea",7,6,2,1,1
"Baltic Sea",7,7,2,1,1
"Baltic Sea",7,8,2,0.5,0.5
"Baltic Sea",7,9,2,0.5,0.5
"Baltic Sea",7,10,2,0.5,0.5
"Baltic Sea",7,11,1,0,0
"Baltic Sea",7,12,1,0,0
"Baltic Sea",7,13,1,0,0
"Baltic Sea",7,14,2,0.5,0.5
"Baltic Sea",7,15,1,0,0
"Baltic Sea",7,16,2,1,1
"Baltic Sea",7,17,2,1.5,1.5
"Baltic Sea",7,18,1,1,1
"Baltic Sea",7,19,1,0,0
"Baltic Sea",7,20,1,1,1
"Baltic Sea",7,21,2,2,2
"Baltic Sea",7,22,2,2.5,2.5
"Baltic Sea",7,23,2,0.5,0.5
"Baltic Sea",7,24,2,0.5,0.5
"Baltic Sea",7,25,2,0.5,0.5
"Baltic Sea",7,26,2,1,1
"Baltic Sea",7,27,1,1,1
"Baltic Sea",7,28,2,0.5,0.5
"Baltic Sea",7,29,1,1,1
"Baltic Sea",7,30,2,2.5,2.5
"Baltic Sea",7,31,1,0,0
"Baltic Sea",7,32,2,2,2
"Baltic Sea",8,1,2,0.5,0.5
"Baltic Sea",8,2,2,0.5,0.5
"Baltic Sea",8,3,2,0.5,0.5
"Baltic Sea",8,4,2,0.5,0.5
"Baltic Sea",8,5,2,0.5,0.5
"Baltic Sea",8,6,2,0.5,0.5
"Baltic Sea",8,7,2,0.5,0.5
"Baltic Sea",8,8,2,0.5,0.5
"Baltic Sea",8,9,2,0.5,0.5
"Baltic Sea",8,10,2,0.5,0.5
"Baltic Sea",8,11,1,0,0
"Baltic Sea",8,12,1,0,0
"Baltic Sea",8,13,1,0,0
"Baltic Sea",8,14,2,1,1
"Baltic Sea",8,15,1,0,0
"Baltic Sea",8,16,2,1.5,1.5
"Baltic Sea",8,17,2,1.5,1.5
"Baltic Sea",8,18,1,1,1
"Baltic Sea",8,19,1,0,0
"Baltic Sea",8,20,1,1,1
"Baltic Sea",8,21,2,0.5,0.5
"Baltic Sea",8,22,2,1,1
"Baltic Sea",8,23,2,0,0
"Baltic Sea",8,24,2,0,0
"Baltic Sea",8,25,2,1.5,1.5
"Baltic Sea",8,26,2,1,1
"Baltic Sea",8,27,1,0,0
"Baltic Sea",8,28,2,0,0
"Baltic Sea",8,29,1,0,0
"Baltic Sea",8,30,2,0,0
"Baltic Sea",8,31,1,1,1
"Baltic Sea",8,32,2,0.5,0.5
"Baltic Sea",9,1,2,0.5,0.5
"Baltic Sea",9,2,2,0.5,0.5
"Baltic Sea",9,3,2,0.5,0.5
"Baltic Sea",9,4,2,0.5,0.5
"Baltic Sea",9,5,2,0.5,0.5
"Baltic Sea",9,6,2,0.5,0.5
"Baltic Sea",9,7,2,0.5,0.5
"Baltic Sea",9,8,2,0.5,0.5
"Baltic Sea",9,9,2,0.5,0.5
"Baltic Sea",9,10,2,0.5,0.5
"Baltic Sea",9,11,1,1,1
"Baltic Sea",9,12,1,1,1
"Baltic Sea",9,13,1,1,1
"Baltic Sea",9,14,2,0.5,0.5
"Baltic Sea",9,15,1,2,2
"Baltic Sea",9,16,2,1.5,1.5
"Baltic Sea",9,17,2,0.5,0.5
"Baltic Sea",9,18,1,1,1
"Baltic Sea",9,19,1,1,1
"Baltic Sea",9,20,1,1,1
"Baltic Sea",9,21,2,1.5,1.5
"Baltic Sea",9,22,2,2.5,2.5
"Baltic Sea",9,23,2,1,1
"Baltic Sea",9,24,2,1,1
"Baltic Sea",9,25,2,0,0
"Baltic Sea",9,26,2,0,0
"Baltic Sea",9,27,1,1,1
"Baltic Sea",9,28,2,0.5,0.5
"Baltic Sea",9,29,1,1,1
"Baltic Sea",9,30,2,0.5,0.5
"Baltic Sea",9,31,1,1,1
"Baltic Sea",9,32,2,1,1
