"Regional sea","P","EC","count","Smean","Smedian"
"Black Sea",1,1,1,2,2
"Black Sea",1,2,1,2,2
"Black Sea",1,3,1,2,2
"Black Sea",1,4,1,2,2
"Black Sea",1,5,1,2,2
"Black Sea",1,6,1,2,2
"Black Sea",1,7,1,1,1
"Black Sea",1,8,1,1,1
"Black Sea",1,9,1,1,1
"Black Sea",1,10,1,1,1
"Black Sea",1,11,1,1,1
"Black Sea",1,12,1,1,1
"Black Sea",1,13,1,1,1
"Black Sea",1,14,1,3,3
"Black Sea",1,15,1,1,1
"Black Sea",1,16,1,3,3
"Black Sea",1,17,1,3,3
"Black Sea",1,18,1,3,3
"Black Sea",1,19,1,3,3
"Black Sea",1,20,1,3,3
"Black Sea",1,21,1,2,2
"Black Sea",1,22,1,2,2
"Black Sea",1,23,1,3,3
"Black Sea",1,24,1,3,3
"Black Sea",1,25,1,1,1
"Black Sea",1,26,1,1,1
"Black Sea",1,27,1,2,2
"Black Sea",1,28,1,2,2
"Black Sea",1,29,1,2,2
"Black Sea",1,30,1,2,2
"Black Sea",1,31,1,3,3
"Black Sea",1,32,1,3,3
"Black Sea",2,1,1,2,2
"Black Sea",2,2,1,2,2
"Black Sea",2,3,1,2,2
"Black Sea",2,4,1,2,2
"Black Sea",2,5,1,2,2
"Black Sea",2,6,1,2,2
"Black Sea",2,7,1,1,1
"Black Sea",2,8,1,1,1
"Black Sea",2,9,1,1,1
"Black Sea",2,10,1,1,1
"Black Sea",2,11,1,1,1
"Black Sea",2,12,1,1,1
"Black Sea",2,13,1,1,1
"Black Sea",2,14,1,3,3
"Black Sea",2,15,1,1,1
"Black Sea",2,16,1,3,3
"Black Sea",2,17,1,3,3
"Black Sea",2,18,1,3,3
"Black Sea",2,19,1,3,3
"Black Sea",2,20,1,3,3
"Black Sea",2,21,1,2,2
"Black Sea",2,22,1,2,2
"Black Sea",2,23,1,3,3
"Black Sea",2,24,1,3,3
"Black Sea",2,25,1,3,3
"Black Sea",2,26,1,3,3
