"Regional sea","P","EC","count","Smean","Smedian"
"Mediteranean Sea",1,1,3,1.67,2
"Mediteranean Sea",1,2,3,1.67,2
"Mediteranean Sea",1,3,3,1.67,2
"Mediteranean Sea",1,4,3,2,2
"Mediteranean Sea",1,5,3,2,2
"Mediteranean Sea",1,6,3,1.67,2
"Mediteranean Sea",1,7,3,1.33,1
"Mediteranean Sea",1,8,3,1.33,1
"Mediteranean Sea",1,9,3,1.33,1
"Mediteranean Sea",1,10,3,1.33,1
"Mediteranean Sea",1,11,3,1.67,2
"Mediteranean Sea",1,12,3,1.33,1
"Mediteranean Sea",1,13,3,1.33,1
"Mediteranean Sea",1,14,3,3,3
"Mediteranean Sea",1,15,3,1.33,1
"Mediteranean Sea",1,16,3,3,3
"Mediteranean Sea",1,17,3,2.67,3
"Mediteranean Sea",1,18,3,3,3
"Mediteranean Sea",1,19,3,2.67,3
"Mediteranean Sea",1,20,3,2.33,2
"Mediteranean Sea",1,21,3,2,2
"Mediteranean Sea",1,22,3,2,2
"Mediteranean Sea",1,23,3,2.33,3
"Mediteranean Sea",1,24,3,2.67,3
"Mediteranean Sea",1,25,3,1.33,1
"Mediteranean Sea",1,26,3,1,1
"Mediteranean Sea",1,27,3,1.33,1
"Mediteranean Sea",1,28,3,1.33,1
"Mediteranean Sea",1,29,3,1.33,1
"Mediteranean Sea",1,30,3,2,2
"Mediteranean Sea",1,31,3,1.67,1
"Mediteranean Sea",1,32,3,2.33,2
"Mediteranean Sea",2,1,3,1.67,2
"Mediteranean Sea",2,2,3,1.67,2
"Mediteranean Sea",2,3,3,1.67,2
"Mediteranean Sea",2,4,3,2,2
"Mediteranean Sea",2,5,3,2,2
"Mediteranean Sea",2,6,3,1.67,2
"Mediteranean Sea",2,7,3,1.33,1
"Mediteranean Sea",2,8,3,1.33,1
"Mediteranean Sea",2,9,3,1.33,1
"Mediteranean Sea",2,10,3,1.33,1
"Mediteranean Sea",2,11,3,1.67,2
"Mediteranean Sea",2,12,3,1.33,1
"Mediteranean Sea",2,13,3,1.33,1
"Mediteranean Sea",2,14,3,3,3
"Mediteranean Sea",2,15,3,1.33,1
"Mediteranean Sea",2,16,3,3,3
"Mediteranean Sea",2,17,3,3,3
