"Regional sea","P","EC","count","Smean","Smedian"
"North East Atlantic",1,1,9,1.33,2
"North East Atlantic",1,2,9,2.11,2
"North East Atlantic",1,3,9,1.89,2
"North East Atlantic",1,4,9,1.67,2
"North East Atlantic",1,5,9,1.78,2
"North East Atlantic",1,6,9,1.33,1
"North East Atlantic",1,7,9,2,2
"North East Atlantic",1,8,9,1.89,2
"North East Atlantic",1,9,9,1.89,2
"North East Atlantic",1,10,9,1.89,2
"North East Atlantic",1,11,9,1.33,1
"North East Atlantic",1,12,9,1.22,1
"North East Atlantic",1,13,9,1.22,1
"North East Atlantic",1,14,9,2.78,3
"North East Atlantic",1,15,9,2,2
"North East Atlantic",1,16,10,2.4,3
"North East Atlantic",1,17,10,2.2,2.5
"North East Atlantic",1,18,9,2.56,3
"North East Atlantic",1,19,9,2.33,3
"North East Atlantic",1,20,9,2.56,3
"North East Atlantic",1,21,10,2.2,2
"North East Atlantic",1,22,10,2.4,2
"North East Atlantic",1,23,20,2.2,2
"North East Atlantic",1,25,9,1.56,1
"North East Atlantic",1,26,9,2,2
"North East Atlantic",1,27,9,1.44,1
"North East Atlantic",1,28,9,1.44,1
"North East Atlantic",1,29,9,1.44,1
"North East Atlantic",1,30,9,1.78,2
"North East Atlantic",1,31,9,2.56,3
"North East Atlantic",1,32,10,2.1,2
"North East Atlantic",2,1,9,1,1
"North East Atlantic",2,2,9,1.78,2
"North East Atlantic",2,3,9,1.44,1
"North East Atlantic",2,4,9,1.44,1
"North East Atlantic",2,5,9,1.44,1
"North East Atlantic",2,6,9,1.22,1
"North East Atlantic",2,7,9,1.67,2
"North East Atlantic",2,8,9,1.56,2
"North East Atlantic",2,9,9,1.78,2
"North East Atlantic",2,10,9,1.78,2
"North East Atlantic",2,11,9,1.22,1
"North East Atlantic",2,12,9,0.89,1
"North East Atlantic",2,13,9,0.89,1
"North East Atlantic",2,14,9,2.56,3
"North East Atlantic",2,15,9,2.11,2
"North East Atlantic",2,16,10,2.7,3
"North East Atlantic",2,17,10,2.5,3
"North East Atlantic",2,18,9,2.78,3
"North East Atlantic",2,19,9,2.33,3
"North East Atlantic",2,20,9,2.78,3
"North East Atlantic",2,21,10,2.2,2
"North East Atlantic",2,22,10,2.3,2
"North East Atlantic",2,23,20,2.25,3
"North East Atlantic",2,25,9,2.11,2
"North East Atlantic",2,26,9,2.44,3
"North East Atlantic",2,27,9,1.56,2
"North East Atlantic",2,28,9,1.56,2
"North East Atlantic",2,29,9,1.56,2
"North East Atlantic",2,30,9,1.89,2
"North East Atlantic",2,31,9,2.78,3
"North East Atlantic",2,32,10,2.1,2
"North East Atlantic",3,1,9,1.22,1
"North East Atlantic",3,2,9,1.33,1
"North East Atlantic",3,3,9,1.44,1
"North East Atlantic",3,4,9,1.22,1
"North East Atlantic",3,5,9,1.22,1
"North East Atlantic",3,6,9,1.22,1
"North East Atlantic",3,7,9,1.44,1
"North East Atlantic",3,8,9,1.44,1
"North East Atlantic",3,9,9,1.44,1
"North East Atlantic",3,10,9,1.44,1
"North East Atlantic",3,11,9,1.44,1
"North East Atlantic",3,12,9,1.44,1
"North East Atlantic",3,13,9,1.44,1
"North East Atlantic",3,14,9,2.22,2
"North East Atlantic",3,15,9,1.33,1
"North East Atlantic",3,16,10,1.8,2
"North East Atlantic",3,17,10,1.6,2
"North East Atlantic",3,18,9,2,2
"North East Atlantic",3,19,9,2,2
"North East Atlantic",3,20,9,2.22,2
"North East Atlantic",3,21,10,1.7,1.5
"North East Atlantic",3,22,10,2.3,2
"North East Atlantic",3,23,20,1.8,2
"North East Atlantic",3,25,9,1,1
"North East Atlantic",3,26,9,1,1
"North East Atlantic",3,27,9,1.11,1
"North East Atlantic",3,28,9,1.11,1
"North East Atlantic",3,29,9,1.11,1
"North East Atlantic",3,30,9,1.11,1
"North East Atlantic",3,31,9,1.44,1
"North East Atlantic",3,32,10,1.8,2
"North East Atlantic",4,1,9,1.44,1
"North East Atlantic",4,2,9,2.67,3
"North East Atlantic",4,3,9,1.89,2
"North East Atlantic",4,4,9,1.89,2
"North East Atlantic",4,5,9,1.89,2
"North East Atlantic",4,6,9,1.56,1
"North East Atlantic",4,7,9,2.33,2
"North East Atlantic",4,8,9,1.78,2
"North East Atlantic",4,9,9,2,2
"North East Atlantic",4,10,9,2,2
"North East Atlantic",4,11,9,2.22,2
"North East Atlantic",4,12,9,1.67,1
"North East Atlantic",4,13,9,1.67,1
"North East Atlantic",4,14,9,2,2
"North East Atlantic",4,15,9,1.56,1
"North East Atlantic",4,16,10,2.2,2
"North East Atlantic",4,17,10,1.8,2
"North East Atlantic",4,18,9,2.78,3
"North East Atlantic",4,19,9,2.78,3
"North East Atlantic",4,20,9,1.89,2
"North East Atlantic",4,21,10,1.6,2
"North East Atlantic",4,22,10,1.5,1.5
"North East Atlantic",4,23,20,1.9,2
"North East Atlantic",4,25,9,0.78,1
"North East Atlantic",4,26,9,0.78,1
"North East Atlantic",4,27,9,1,1
"North East Atlantic",4,28,9,1,1
"North East Atlantic",4,29,9,1,1
"North East Atlantic",4,30,9,1,1
"North East Atlantic",4,31,9,1.33,1
"North East Atlantic",4,32,10,1.9,2
"North East Atlantic",5,1,9,1.33,1
"North East Atlantic",5,2,9,2.44,2
"North East Atlantic",5,3,9,1.89,2
"North East Atlantic",5,4,9,2.22,2
"North East Atlantic",5,5,9,2.22,2
"North East Atlantic",5,6,9,1.89,2
"North East Atlantic",5,7,9,2.22,2
"North East Atlantic",5,8,9,1.89,2
"North East Atlantic",5,9,9,2.44,3
"North East Atlantic",5,10,9,2.44,3
"North East Atlantic",5,11,9,2.33,2
"North East Atlantic",5,12,9,1.89,2
"North East Atlantic",5,13,9,1.89,2
"North East Atlantic",5,14,9,2.44,2
"North East Atlantic",5,15,9,2,2
"North East Atlantic",5,16,10,2.2,2
"North East Atlantic",5,17,10,1.8,2
"North East Atlantic",5,18,9,2.33,2
"North East Atlantic",5,19,9,2.11,2
"North East Atlantic",5,20,9,2.33,2
"North East Atlantic",5,21,10,1.9,2
"North East Atlantic",5,22,10,1.5,2
"North East Atlantic",5,23,20,2.85,3
"North East Atlantic",5,25,9,0.33,0
"North East Atlantic",5,26,9,0.33,0
"North East Atlantic",5,27,9,0.44,0
"North East Atlantic",5,28,9,0.44,0
"North East Atlantic",5,29,9,0.67,0
"North East Atlantic",5,30,9,0.44,0
"North East Atlantic",5,31,9,1.11,1
"North East Atlantic",5,32,10,1.9,2
"North East Atlantic",6,1,9,0.56,0
"North East Atlantic",6,2,9,0.89,1
"North East Atlantic",6,3,9,0.78,1
"North East Atlantic",6,4,9,1.11,1
"North East Atlantic",6,5,9,1.11,1
"North East Atlantic",6,6,9,0.67,1
"North East Atlantic",6,7,9,0.67,1
"North East Atlantic",6,8,9,0.56,1
"North East Atlantic",6,9,9,0.67,1
"North East Atlantic",6,10,9,0.67,1
"North East Atlantic",6,11,9,0.11,0
"North East Atlantic",6,12,9,0.11,0
"North East Atlantic",6,13,9,0.11,0
"North East Atlantic",6,14,9,2.44,2
"North East Atlantic",6,15,9,0.44,0
"North East Atlantic",6,16,10,2.5,2.5
"North East Atlantic",6,17,10,2.6,3
"North East Atlantic",6,18,9,1.89,2
"North East Atlantic",6,19,9,0.33,0
"North East Atlantic",6,20,9,2,2
"North East Atlantic",6,21,10,0.1,0
"North East Atlantic",6,22,10,0.8,0
"North East Atlantic",6,23,20,0.35,0
"North East Atlantic",6,25,9,0.56,0
"North East Atlantic",6,26,9,0.56,0
"North East Atlantic",6,27,9,0.33,0
"North East Atlantic",6,28,9,0.33,0
"North East Atlantic",6,29,9,0.33,0
"North East Atlantic",6,30,9,1.22,1
"North East Atlantic",6,31,9,1.44,2
"North East Atlantic",6,32,10,0.8,1
"North East Atlantic",7,1,3,0,0
"North East Atlantic",7,2,3,0,0
"North East Atlantic",7,3,3,0,0
"North East Atlantic",7,4,3,0,0
"North East Atlantic",7,5,3,0,0
"North East Atlantic",7,6,3,0,0
"North East Atlantic",7,7,3,0,0
"North East Atlantic",7,8,3,0,0
"North East Atlantic",7,9,3,0,0
"North East Atlantic",7,10,3,0,0
"North East Atlantic",7,11,3,0,0
"North East Atlantic",7,12,3,0,0
"North East Atlantic",7,13,3,0,0
"North East Atlantic",7,14,3,0.67,1
"North East Atlantic",7,15,3,1.33,2
"North East Atlantic",7,16,3,2,3
"North East Atlantic",7,17,3,1.33,2
"North East Atlantic",7,18,3,0,0
"North East Atlantic",7,19,3,0.67,1
"North East Atlantic",7,20,3,2,3
"North East Atlantic",7,21,3,1.33,2
"North East Atlantic",7,22,3,2,3
"North East Atlantic",7,23,6,0.67,1
"North East Atlantic",7,25,3,0.67,1
"North East Atlantic",7,26,3,0.67,1
"North East Atlantic",7,27,3,0.67,1
"North East Atlantic",7,28,3,0.67,1
"North East Atlantic",7,29,3,0.67,1
"North East Atlantic",7,30,3,0.67,1
"North East Atlantic",7,31,3,0,0
"North East Atlantic",7,32,3,0.67,1
"North East Atlantic",8,1,9,1.11,1
"North East Atlantic",8,2,9,1.33,1
"North East Atlantic",8,3,9,1.33,1
"North East Atlantic",8,4,9,1.11,1
"North East Atlantic",8,5,9,1.11,1
"North East Atlantic",8,6,9,0.89,1
"North East Atlantic",8,7,9,1,1
"North East Atlantic",8,8,9,1,1
"North East Atlantic",8,9,9,1,1
"North East Atlantic",8,10,9,1,1
"North East Atlantic",8,11,9,0,0
"North East Atlantic",8,12,9,0,0
"North East Atlantic",8,13,9,0,0
"North East Atlantic",8,14,9,2,2
"North East Atlantic",8,15,9,0.67,1
"North East Atlantic",8,16,10,1.6,1
"North East Atlantic",8,17,10,1.8,2
"North East Atlantic",8,18,9,1.56,2
"North East Atlantic",8,19,9,0.22,0
"North East Atlantic",8,20,9,1.67,2
"North East Atlantic",8,21,10,2,2
